City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Shubarkuduk,KZ,69.48,overcast clouds,49.1447,56.4872,Sirius
340,Tougan,BF,77.4,scattered clouds,13.0667,-3.0667,Hôtel SMAK
343,Kailahun,SL,68.74,light rain,8.2833,-10.5667,MAWAC Guesthouse
344,Manta,EC,73.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
345,Yenagoa,NG,73.02,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
347,Villarrica,PY,72.27,few clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
349,Takoradi,GH,73.24,scattered clouds,4.8845,-1.7554,Raybow International Hotel
351,Koroni,GR,78.08,clear sky,36.8,21.95,Apartments Xenios Zeus 1
352,Koprivnica,HR,71.2,clear sky,46.1628,16.8275,Podravina
354,Batatais,BR,69.78,clear sky,-20.8911,-47.585,Castelo Palace Hotel
358,Cap Malheureux,MU,68.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
360,Shetpe,KZ,76.89,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
361,Sao Jose Da Coroa Grande,BR,74.7,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
363,Sambava,MG,69.06,light rain,-14.2667,50.1667,Melrose
364,Abha,SA,66.45,clear sky,18.2164,42.5053,Abha Hotel
365,Biloli,IN,76.62,light rain,18.7667,77.7333,Hotel Santosh
366,Harper,LR,75.07,overcast clouds,4.375,-7.7169,Screensaver
368,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
369,Pauini,BR,78.93,few clouds,-7.7136,-66.9764,Casa do Kiwliks
370,Kapoeta,SS,71.78,broken clouds,4.7717,33.5903,Eastgate Hotel
371,Xuddur,SO,71.44,overcast clouds,4.1213,43.8894,Banjanay Hotel
372,Den Helder,NL,68.99,overcast clouds,52.9599,4.7593,Hotel Den Helder
376,Saint Albans,GB,66.9,light rain,51.75,-0.3333,The White Hart
379,Kongolo,CD,75.88,few clouds,-5.3833,27.0,GUEST HOUSE OASIS
385,Oktyabrsk,KZ,66.81,overcast clouds,49.4744,57.4233,Gostinitsa Dos Kandyagash
392,Pegnitz,DE,73.85,overcast clouds,49.7564,11.545,Hotel Ratsstube Pegnitz GmbH
393,Tias,ES,71.28,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
394,Alpena,US,77.32,few clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
397,Farafangana,MG,66.74,light rain,-22.8167,47.8333,Miarina
399,Muros,ES,68.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
401,Saquarema,BR,68.38,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
