City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Quatre Cocos,MU,-20.2078,57.7625,68.09,73,96,20.13,light rain
148,Bereda,ES,43.2686,-7.5406,64.42,98,56,6.35,broken clouds
149,Piacabucu,BR,-10.4056,-36.4344,73.67,88,69,11.3,broken clouds
150,Peniche,PT,39.3558,-9.3811,67.28,92,2,16.53,clear sky
151,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,83,40,4.61,scattered clouds
152,Am Timan,TD,11.0297,20.2827,73.89,89,91,2.86,light rain
153,Mutoko,ZW,-17.397,32.2268,56.86,72,69,8.32,broken clouds
154,Pryazha,RU,61.6926,33.6216,63.25,85,31,7.23,scattered clouds
155,Lagoa,PT,39.05,-27.9833,71.58,82,8,3.6,clear sky
156,Agara,GE,42.0376,43.8238,62.74,96,87,4.81,light rain
157,Tombouctou,ML,20.0,-3.0,91.18,43,59,4.88,light rain
158,Saint Anthony,US,45.0205,-93.218,89.15,40,40,23.02,scattered clouds
159,Nouadhibou,MR,20.931,-17.0347,68.09,95,16,12.44,few clouds
160,Saint-Joseph,RE,-21.3667,55.6167,68.38,77,29,13.96,scattered clouds
161,Gravdal,NO,68.1214,13.5031,54.36,88,99,12.57,overcast clouds
162,Penalva,BR,-3.2942,-45.1736,75.43,70,57,2.73,broken clouds
163,Lilongwe,MW,-13.9669,33.7873,62.53,55,9,8.46,clear sky
164,Abiramam,IN,9.4667,78.45,82.22,71,56,7.78,broken clouds
165,Marquette,US,46.5333,-87.6335,74.64,78,35,12.66,light rain
166,Arkhipo-Osipovka,RU,44.37,38.52,66.78,84,0,1.19,clear sky
167,Helmstedt,DE,52.2279,11.0099,74.55,37,54,6.93,broken clouds
168,Songea,TZ,-10.6833,35.65,61.57,59,97,3.02,overcast clouds
169,La Palma,US,33.8464,-118.0467,100.67,54,0,11.5,clear sky
170,Sur,OM,22.5667,59.5289,83.44,77,89,14.81,overcast clouds
171,Kaabong,UG,3.4836,34.1492,63.37,80,93,10.07,overcast clouds
172,Bonavista,CA,48.6499,-53.1147,60.75,87,100,26.11,light rain
173,Manturovo,RU,58.3353,44.7619,52.21,90,68,4.59,broken clouds
174,Codrington,AU,-38.2667,141.9667,41.86,72,0,6.42,clear sky
175,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,73.06,31,53,4.97,broken clouds
176,Coihaique,CL,-45.5752,-72.0662,28.29,97,36,6.71,light snow
177,Usinsk,RU,65.9939,57.5281,63.9,58,68,8.86,broken clouds
178,Mitu,CO,1.1983,-70.1733,71.53,99,95,2.42,overcast clouds
179,Lebu,CL,-37.6167,-73.65,52.79,96,100,9.64,overcast clouds
180,Sokoni,TZ,-6.4333,39.55,75.7,73,14,18.07,few clouds
181,Breves,BR,-1.6822,-50.4803,77.74,79,78,4.05,broken clouds
182,Santa Cruz Del Norte,CU,23.1539,-81.9236,83.17,76,57,14.72,broken clouds
183,Manzil Kamil,TN,35.6248,10.6673,81.84,78,0,5.75,clear sky
184,Nuristan,AF,35.3,70.8333,51.37,64,19,4.18,few clouds
185,Turtas,RU,58.9417,69.1325,58.62,90,96,2.15,overcast clouds
186,Moissac,FR,44.1024,1.0945,70.48,62,1,7.56,clear sky
187,Chambas,CU,22.1928,-78.9136,82.69,74,19,12.24,few clouds
188,Kavaratti,IN,10.5669,72.642,81.05,79,100,19.89,overcast clouds
189,Kushmurun,KZ,52.4503,64.6311,62.89,81,16,5.82,few clouds
190,Sistranda,NO,63.7256,8.834,55.36,98,100,5.82,light rain
191,Manga,BF,11.6636,-1.0731,78.48,72,91,3.85,overcast clouds
192,Altay,CN,47.8667,88.1167,55.44,56,81,4.16,broken clouds
193,Kaduna,NG,10.5222,7.4383,69.35,97,100,2.42,moderate rain
